Year,comF,recF,F,R,M
1981,0.581002604,0.072989029,0.653991634,41644796.62,0.2
1982,0.69117634,0.035231789,0.726408129,24769359.48,0.2
1983,0.726863695,0.052721072,0.779584767,25894203.34,0.2
1984,0.643390509,0.063618552,0.707009061,10677954.72,0.2
1985,0.83681538,0.149897812,0.986713191,4981402.784,0.2
1986,0.678580497,0.125141903,0.803722401,10263583.82,0.2
1987,0.531177994,0.126341544,0.657519539,11072763.96,0.2
1988,0.532378704,0.083534024,0.615912728,20407866.02,0.2
1989,0.769210942,0.042064086,0.811275028,23106473.59,0.2
1990,0.980719951,0.097035152,1.077755103,8242993.246,0.2
1991,1.106859148,0.103304901,1.210164049,10024330.72,0.2
1992,1.072998659,0.063558644,1.136557303,8363040.001,0.2
1993,0.955376382,0.15621986,1.111596242,9164896.541,0.2
1994,0.880679975,0.094544853,0.975224827,9287870.82,0.2
1995,0.657099367,0.106479815,0.763579182,4600774.725,0.2
1996,0.724914412,0.060081422,0.784995834,4253019.072,0.2
1997,0.863806569,0.045640432,0.909447001,7478924.106,0.2
1998,0.755105289,0.061430568,0.816535857,4972223.755,0.2
1999,0.447463821,0.063505153,0.510968974,13618002.57,0.2
2000,0.353915537,0.066438596,0.420354133,17636660.54,0.2
2001,0.345831559,0.060200974,0.406032532,4053747.27,0.2
2002,0.238585417,0.051571949,0.290157366,16566256.95,0.2
2003,0.234196064,0.065684339,0.299880403,8545391.483,0.2
2004,0.220027054,0.100732766,0.320759821,20269351.16,0.2
2005,0.232441313,0.143127919,0.375569232,6762052.75,0.2
2006,0.202600712,0.035940548,0.23854126,14859969.22,0.2
2007,0.185964265,0.050010692,0.235974956,11740631.25,0.2
2008,0.254800286,0.068952618,0.323752904,12940022.47,0.2
2009,0.316521261,0.100876751,0.417398012,9503455.976,0.2
2010,0.329622387,0.177161647,0.506784034,4224434.167,0.2
2011,0.518064126,0.241438986,0.759503112,1747931.878,0.2
2012,0.610825674,0.227521853,0.838347526,1893861.244,0.2
2013,0.437538792,0.420183461,0.857722253,761625.3827,0.2
2014,0.47813449,0.268047956,0.746182446,1746721.265,0.2
2015,0.180116853,0.052164612,0.232281465,1058299.853,0.2
2016,0.147991174,0.114156739,0.262147912,451305.0016,0.2
2017,0.105029101,0.174981487,0.280010588,374911.6289,0.2
2018,0.178292493,0.113837456,0.292129949,1094496.089,0.2
2019,0.309799718,0.067683623,0.377483341,487454.2473,0.2
2020,0.336566869,0.069117102,0.405683971,1418215.724,0.2
2021,0.279681764,0.13370751,0.413389274,1915892.513,0.2
2022,0.250905792,0.071525406,0.322431199,1798359.864,0.2
2023,0.231009892,0.082409999,0.313419891,886622.0661,0.2
